Food_Code,Food_Desc,Nivel_Gordura
42109100,"Macadamia nuts, roasted",12.68
81301020,Lemon-butter sauce,12.333333333333334
83100200,"Salad dressing, NFS, for sandwiches",10.700000000000001
81302010,Hollandaise sauce,9.663333333333332
83102000,Caesar dressing,9.641666666666667
42200500,Almond butter,9.25
42110150,"Mixed nuts, roasted, without peanuts",9.181666666666667
42202130,"Peanut butter, reduced sugar",9.148333333333333
42116100,"Walnuts, honey-roasted",8.978333333333333
42100050,"Nuts, nfs",8.936666666666666
