Food_Code,Food_Desc,Nota
71508030,"White potato, stuffed, baked, peel eaten, stuffed with chili",13
52304010,"Muffin, wheat bran",12
27446350,"Oriental chicken or turkey garden salad (chicken and/or turkey, lettuce, fruit, nuts), no dressing",11
27446355,"Oriental chicken or turkey garden salad with crispy noodles (chicken and/or turkey, lettuce, fruit, nuts",11
58106755,"Pizza with meat and fruit, regular crust",11
71507020,"White potato, stuffed, baked, peel not eaten, stuffed with cheese",11
71507030,"White potato, stuffed, baked, peel not eaten, stuffed with chili",11
71508020,"White potato, stuffed, baked, peel eaten, stuffed with cheese",11
74203010,"Tomatoes, NS as to form, scalloped",11
13135010,"Ice cream sandwich, made with light chocolate ice cream",10
